id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Blue Morning,Velvet Soul,R&B,romantic,0.58,92,0.72,0.74,0.32
12,Concrete Jungle,MC Verse,hip-hop,energetic,0.80,95,0.63,0.85,0.08
13,Mountain Echo,Pine & Wire,folk,peaceful,0.30,70,0.68,0.45,0.94
14,Last Train Home,The Static,country,nostalgic,0.45,88,0.55,0.57,0.82
15,Depth Charge,Bass Reactor,electronic,energetic,0.95,140,0.42,0.91,0.03
16,Rainy Window,Ashen Keys,classical,melancholic,0.22,58,0.38,0.30,0.97
17,Red Lights,Crimson Drift,metal,angry,0.96,168,0.31,0.55,0.06
18,Golden Hour,Sable Ray,soul,romantic,0.52,85,0.78,0.68,0.65
19,Neon Pulse,DataWave,EDM,euphoric,0.97,128,0.70,0.94,0.02
20,Dusty Road,Blue Ember,blues,sad,0.33,75,0.40,0.48,0.88
